job_id;crunchr_job_id;crunchr_employee_id;crunchr_person_id;crunchr_position_id;employee_id;position_id;first_name;last_name;gender;date_of_birth;date_in_service;date_in_position;fte;employee_status;employee_grade;title;position_grade;solid_line;dotted_line;business_unit_level0;business_unit_level1;business_unit_level2;business_unit_level3;functional_area_level0;functional_area_level1;functional_area_level2;functional_area_level3;location_level0;location_level1;location_level2;location_level3;contract_type;talent_status;potential;mobility;performance_status;retention_risk;retention_risk_reason;solid_line_layer;base_salary;currency;crunchr_reward_id;hire_type;leave_type;cost_center_level0;cost_center_level1;cost_center_level2;cost_center_level3;legal_entity_level0;legal_entity_level1;legal_entity_level2;legal_entity_level3
1466;;;;;1466;1466;Dante;Solovynov;M;1976-12-13;1992-07-07;2013-12-10;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;783;627;Global;Sugar & Sweets;Icecream;Sorbet;Global;Manufacturing;Distribution;;Global;Europe;United Kingdom;Manchester;Permanent;;Unknown;None;Low;Medium;Career;;24715;GBP;;;;Global;22794;227948;;Sugar & Sweets Holding;Candy sugar store inc;;
1467;;;;;1467;1467;Shadi;Attilio;F;1969-11-19;1999-10-28;2013-11-04;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;783;627;Global;Sugar & Sweets;Cakes;Chocolate Cakes;Global;Manufacturing;Distribution;;Global;North America;United States;San Francisco;Permanent;;High;Unknown;High;Unknown;Unknown;;27170;USD;;;;Global;24492;244925;;Sugar & Sweets Holding;Internet trading inc;;
1468;;;;;1468;1468;An;Michieka;M;1971-05-24;1998-05-08;2013-12-17;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;784;627;Global;Sugar & Sweets;Candy;Lollipops;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Almere;Permanent;Talent;High;Global;Low;Low;Manager;;24530;EUR;;;;Global;22794;227947;;Sugar & Sweets Holding;Internet trading inc;;
1469;;;;;1469;1469;William;Johnson;M;1965-01-08;1996-11-24;2012-12-13;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;784;627;Global;Sugar & Sweets;Candy;Organic Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;Talent;Medium;Local;Low;Unknown;Unknown;;25166;EUR;;;;Global;22794;227944;;Sugar & Sweets Holding;Candy sugar store inc;;
1470;;;;;1470;1470;Jake;Alighieri;M;1963-09-16;1998-11-04;2012-03-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;784;627;Global;Sugar & Sweets;Candy;Sour Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;The Hague;Permanent;Talent;High;;Low;;;;25126;EUR;;;;Global;24216;242161;;Sugar & Sweets Holding;Candy sugar store inc;;
1471;;;;;1471;1471;Roi;Novikov;M;1969-02-10;1999-02-11;2013-08-03;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;784;627;Global;Sugar & Sweets;Candy;Licorice;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;;Low;None;Medium;Unknown;Unknown;;24004;EUR;;;;Global;22794;227949;;Sugar & Sweets Holding;Sweet company inc;;
1472;;;;;1472;1472;Roushdy;King;M;1964-09-09;1984-10-23;2012-07-02;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;784;627;Global;Sugar & Sweets;Candy;Licorice;Global;Manufacturing;Distribution;;Global;Europe;Spain;Madrid;Permanent;;High;;Medium;Unknown;Unknown;;24643;EUR;;;;Global;22794;227941;;Sugar & Sweets Holding;Candy sugar store inc;;
1473;;;;;1473;1473;Renau;Hai-feng;M;1978-01-09;1994-12-01;2014-07-13;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;784;627;Global;Sugar & Sweets;Cakes;Chocolate Cakes;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Rotterdam;Permanent;;High;;Medium;Unknown;Unknown;;25817;EUR;;;;Global;24216;242169;;Sugar & Sweets Holding;Candy sugar store inc;;
1474;;;;;1474;1474;Rasmus;Pettersson;M;1986-07-11;2012-08-22;2014-09-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;784;627;Global;Sugar & Sweets;Candy;Sour Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Utrecht;Permanent;;Low;Unknown;Low;Medium;Manager;;25267;EUR;;;;Global;24492;244927;;Sugar & Sweets Holding;Sweet company inc;;
1475;;;;;1475;1475;Elliott;Damasso;M;1972-02-24;2005-06-24;2013-03-23;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;785;627;Global;Sugar & Sweets;Cakes;Chocolate Cakes;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Almere;Permanent;;Medium;Unknown;Low;;;;27726;EUR;;;;Global;24216;242161;;Sugar & Sweets Holding;Candy sugar store inc;;
1476;;;;;1476;1476;Jeung;Mcghee;M;1961-03-06;1994-12-06;2013-10-14;1;Active;Hay Grade 14;Distribution Center Manager;Hay Grade 13;785;627;Global;Sugar & Sweets;Candy;Organic Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Utrecht;Permanent;;Medium;Unknown;Medium;Unknown;Unknown;;24486;EUR;;;;Global;22794;227944;;Sugar & Sweets Holding;Sweet company inc;;
1477;;;;;1477;1477;Petras;Balogh;M;1997-06-25;2013-08-01;2014-09-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;785;627;Global;Sugar & Sweets;Icecream;Sorbet;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;Local;Low;Unknown;Unknown;;28179;EUR;;;;Global;24492;244929;;Sugar & Sweets Holding;Internet trading inc;;
1478;;;;;1478;1478;Sam;Dostthaller;M;1976-08-09;2004-02-05;2014-03-01;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;785;627;Global;Sugar & Sweets;Icecream;Sorbet;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;None;Medium;Medium;Career;;29275;EUR;;;;Global;22794;227943;;Sugar & Sweets Holding;Internet trading inc;;
1479;;;;;1479;1479;Daniel;Grissom;M;1971-06-11;2010-01-02;2014-09-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;785;627;Global;Sugar & Sweets;Icecream;Sorbet;Global;Manufacturing;Distribution;;Global;North America;United States;Chicago;Permanent;;Unknown;None;High;Medium;Unknown;;27797;USD;;;;Global;24216;242169;;Sugar & Sweets Holding;Candy sugar store inc;;
1480;;;;;1480;1480;Quique;Naimish;M;1971-02-10;2006-12-27;2014-09-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;785;627;Global;Sugar & Sweets;Cakes;Fruit Cakes;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;Unknown;High;High;Career;;24145;EUR;;;;Global;24216;242165;;Sugar & Sweets Holding;Candy sugar store inc;;
1481;;;;;1481;1481;Tala;Veltmaat   ;F;1978-03-31;2004-03-29;2014-07-24;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;785;627;Global;Sugar & Sweets;Candy;Lollipops;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Rotterdam;Permanent;;Low;Regional;Low;Low;Compensation;;25057;EUR;;;;Global;24492;244929;;Sugar & Sweets Holding;Sweet company inc;;
1482;;;;;1482;1482;William;Soon-ei;M;1968-04-15;1985-04-08;2013-03-29;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;786;627;Global;Sugar & Sweets;Chocolate;Dark Chocolate;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;Talent;Medium;Unknown;Medium;Medium;Career;;25557;EUR;;;;Global;24492;244921;;Sugar & Sweets Holding;Sweet company inc;;
1483;;;;;1483;1483;Matej;Lebedev;M;1982-03-03;2011-10-17;2014-08-22;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;786;627;Global;Sugar & Sweets;Icecream;Sorbet;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Rotterdam;Permanent;;Low;Global;Unknown;Unknown;Unknown;;24986;EUR;;;;Global;24216;242168;;Sugar & Sweets Holding;Internet trading inc;;
1484;;;;;1484;1484;Ineke;Robinson;F;1979-01-22;2011-07-06;2014-09-08;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;786;627;Global;Sugar & Sweets;Chocolate;Dark Chocolate;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;;High;Medium;Personal Circumstances;;26005;EUR;;;;Global;24216;242164;;Sugar & Sweets Holding;Candy sugar store inc;;
1485;;;;;1485;1485;Michael;Zhao-ji;F;1976-09-26;2009-08-05;2014-09-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;786;627;Global;Sugar & Sweets;Icecream;Sorbet;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Utrecht;Permanent;;High;Unknown;Medium;Unknown;Unknown;;24376;EUR;;;;Global;24492;244925;;Sugar & Sweets Holding;Sweet company inc;;
1486;;;;;1486;1486;David;Linh;M;1983-06-30;2004-05-27;2013-12-15;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;786;627;Global;Sugar & Sweets;Candy;Organic Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;;High;Unknown;Low;;;;28333;EUR;;;;Global;24216;242161;;Sugar & Sweets Holding;Sweet company inc;;
1487;;;;;1487;1487;Julian;Jian-cheng;M;1958-11-17;1989-03-24;2013-06-06;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;786;627;Global;Sugar & Sweets;Candy;Organic Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Almere;Permanent;;Medium;Unknown;Medium;Low;Unknown;;28661;EUR;;;;Global;22794;227948;;Sugar & Sweets Holding;Sweet company inc;;
1488;;;;;1488;1488;Fabian;Piroth;M;1992-07-13;2013-01-24;2013-12-06;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;786;627;Global;Sugar & Sweets;Candy;Organic Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Almere;Permanent;;Medium;;Medium;Unknown;Unknown;;28623;EUR;;;;Global;24492;244929;;Sugar & Sweets Holding;Internet trading inc;;
1489;;;;;1489;1489;Viktor;Vasilyev;M;1976-11-25;2002-04-20;2014-09-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;787;627;Global;Sugar & Sweets;Candy;Licorice;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;;High;;Medium;Low;Manager;;28508;EUR;;;;Global;24216;242161;;Sugar & Sweets Holding;Internet trading inc;;
1490;;;;;1490;1490;Ad;Harris;M;1977-09-16;1999-09-24;2014-09-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;787;627;Global;Sugar & Sweets;Candy;Organic Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Rotterdam;Permanent;;Medium;Global;Unknown;;;;27698;EUR;;;;Global;24492;244926;;Sugar & Sweets Holding;Sweet company inc;;
1491;;;;;1491;1491;George;Muro;M;1973-03-13;1992-09-24;2012-12-11;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;787;627;Global;Sugar & Sweets;Cakes;Chocolate Cakes;Global;Manufacturing;Distribution;;Global;Europe;Spain;Madrid;Permanent;;Low;Local;Medium;None;None;;27316;EUR;;;;Global;24216;242164;;Sugar & Sweets Holding;Internet trading inc;;
1492;;;;;1492;1492;Arthur;Kukk;M;1965-01-02;1993-01-18;2013-03-23;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;787;627;Global;Sugar & Sweets;Cakes;Wedding Cakes;Global;Manufacturing;Distribution;;Global;Europe;Spain;Madrid;Permanent;;Medium;;Unknown;Unknown;Unknown;;25229;EUR;;;;Global;24492;244929;;Sugar & Sweets Holding;Internet trading inc;;
1493;;;;;1493;1493;Dominique;Naguib;M;1976-04-01;2002-03-03;2014-01-11;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;787;627;Global;Sugar & Sweets;Cakes;Chocolate Cakes;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;;High;Unknown;Unknown;Unknown;Unknown;;29206;EUR;;;;Global;24492;244929;;Sugar & Sweets Holding;Candy sugar store inc;;
1494;;;;;1494;1494;Fanny;Deirmenciolu;F;1984-05-24;2008-11-30;2013-08-30;1;Active;Hay Grade 12;Distribution Center Manager;Hay Grade 13;787;627;Global;Sugar & Sweets;Candy;Chewy Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;The Hague;Permanent;;Medium;Unknown;Medium;Unknown;Unknown;;28927;EUR;;;;Global;24492;244924;;Sugar & Sweets Holding;Sweet company inc;;
1495;;;;;1495;1495;Ali;Sabbah;M;1977-08-28;1999-01-29;2012-05-17;1;Active;Hay Grade 14;Distribution Center Manager;Hay Grade 13;787;627;Global;Sugar & Sweets;Candy;Organic Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;;Low;Medium;Compensation;;28305;EUR;;;;Global;24492;244927;;Sugar & Sweets Holding;Candy sugar store inc;;
1496;;;;;1496;1496;Yeo;Bolio De  ;M;1965-04-27;1995-04-16;2014-07-01;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;788;627;Global;Sugar & Sweets;Candy;Chewy Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Utrecht;Permanent;;Medium;Unknown;Medium;Unknown;Unknown;;29864;EUR;;;;Global;22794;227945;;Sugar & Sweets Holding;Internet trading inc;;
1497;;;;;1497;1497;Cao;Cohen;M;1979-03-16;2002-07-20;2014-09-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;788;627;Global;Sugar & Sweets;Chocolate;Dark Chocolate;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;Local;High;Unknown;Unknown;;29970;EUR;;;;Global;24216;242162;;Sugar & Sweets Holding;Sweet company inc;;
1498;;;;;1498;1498;Batholomew;Roma Gorriz  ;M;1973-01-31;2008-11-26;2014-05-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;788;627;Global;Sugar & Sweets;Candy;Caramel Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;The Hague;Permanent;;Medium;;Medium;Unknown;Unknown;;29718;EUR;;;;Global;24216;242167;;Sugar & Sweets Holding;Candy sugar store inc;;
1499;;;;;1499;1499;Archibald;Azulai;M;1959-05-23;1988-11-09;2012-08-02;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;788;627;Global;Sugar & Sweets;Candy;Organic Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;;Unknown;;Medium;Unknown;Unknown;;28715;EUR;;;;Global;22794;227943;;Sugar & Sweets Holding;Sweet company inc;;
1500;;;;;1500;1500;Bizhan;Bredenoord   ;M;1966-02-03;1991-12-09;2013-11-08;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;788;627;Global;Sugar & Sweets;Icecream;Gelato;Global;Manufacturing;Distribution;;Global;North America;United States;New York City;Permanent;;Medium;Local;Unknown;Unknown;Unknown;;29275;USD;;;;Global;24492;244924;;Sugar & Sweets Holding;Sweet company inc;;
1501;;;;;1501;1501;Filip;David;M;1978-09-04;2011-08-19;2014-08-09;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;788;627;Global;Sugar & Sweets;Candy;Sour Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;;Medium;High;Manager;;25349;EUR;;;;Global;24492;244925;;Sugar & Sweets Holding;Internet trading inc;;
1502;;;;;1502;1502;You;Xue;M;1973-04-03;2000-07-12;2012-07-11;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;788;627;Global;Sugar & Sweets;Candy;Organic Candy;Global;Manufacturing;Distribution;;Global;Europe;United Kingdom;London;Permanent;;Unknown;Global;Medium;None;None;;29218;GBP;;;;Global;24216;242165;;Sugar & Sweets Holding;Candy sugar store inc;;
1503;;;;;1503;1503;Cho;Tai-Hee;F;1960-10-28;1990-02-06;2014-09-19;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;789;627;Global;Sugar & Sweets;Chocolate;Dark Chocolate;Global;Manufacturing;Distribution;;Global;North America;United States;New York City;Permanent;;Medium;Unknown;Medium;Medium;Personal Circumstances;;27919;USD;;;;Global;24492;244924;;Sugar & Sweets Holding;Sweet company inc;;
1504;;;;;1504;1504;Eudora;Sudarshana;F;1976-07-22;2004-02-28;2014-03-31;0.4;Active;Hay Grade 14;Distribution Center Manager;Hay Grade 13;789;627;Global;Sugar & Sweets;Candy;Lollipops;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Almere;Permanent;;High;Unknown;Unknown;Unknown;Unknown;;27158;EUR;;;;Global;22794;227949;;Sugar & Sweets Holding;Candy sugar store inc;;
1505;;;;;1505;1505;Giano;Zhi-huan;M;1970-10-16;2008-03-31;2014-09-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;789;627;Global;Sugar & Sweets;Candy;Licorice;Global;Manufacturing;Distribution;;Global;North America;United States;New York City;Permanent;;High;Unknown;Low;Medium;Career;;28162;USD;;;;Global;22794;227946;;Sugar & Sweets Holding;Sweet company inc;;
1506;;;;;1506;1506;Juozas;Clarici;M;1972-01-08;2005-09-05;2013-06-15;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;789;627;Global;Sugar & Sweets;Candy;Hard Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;;Low;;Medium;Unknown;Unknown;;27412;EUR;;;;Global;22794;227941;;Sugar & Sweets Holding;Sweet company inc;;
1507;;;;;1507;1507;Sergio;Canales;M;1976-01-25;2001-06-15;2014-03-11;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;789;627;Global;Sugar & Sweets;Candy;Organic Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Utrecht;Permanent;;High;Local;Medium;Unknown;Unknown;;24056;EUR;;;;Global;24216;242166;;Sugar & Sweets Holding;Candy sugar store inc;;
1508;;;;;1508;1508;Kwame;Jonsson;M;1982-01-22;1998-05-15;2014-04-06;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;789;627;Global;Sugar & Sweets;Candy;Organic Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;The Hague;Permanent;;Medium;Unknown;Medium;Unknown;Unknown;;29573;EUR;;;;Global;22794;227948;;Sugar & Sweets Holding;Internet trading inc;;
1509;;;;;1509;1509;Zaafir;Laforet;M;1962-11-20;1997-02-27;2014-08-25;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;789;627;Global;Sugar & Sweets;Candy;Sour Candy;Global;Manufacturing;Distribution;;Global;Europe;United Kingdom;Manchester;Permanent;;Low;;Medium;Medium;Career;;24449;GBP;;;;Global;22794;227946;;Sugar & Sweets Holding;Sweet company inc;;
1510;;;;;1510;1510;Constantin;Young-Su;M;1971-03-16;2004-04-19;2014-09-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;790;627;Global;Sugar & Sweets;Candy;Lollipops;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Almere;Permanent;;High;Global;Medium;Unknown;Unknown;;25284;EUR;;;;Global;24216;242163;;Sugar & Sweets Holding;Candy sugar store inc;;
1511;;;;;1511;1511;Luz;Strijker   ;M;1956-01-02;1983-03-01;2013-02-06;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;790;627;Global;Sugar & Sweets;Icecream;Sorbet;Global;Manufacturing;Distribution;;Global;North America;United States;New York City;Permanent;;High;Unknown;High;Unknown;Unknown;;29063;USD;;;;Global;22794;227943;;Sugar & Sweets Holding;Sweet company inc;;
1512;;;;;1512;1512;Constantin;Stapleton;M;1970-12-20;2003-05-03;2014-07-03;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;790;627;Global;Sugar & Sweets;Candy;Bubbel Gum;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;The Hague;Permanent;;Medium;Local;Low;Unknown;Unknown;;25161;EUR;;;;Global;24492;244928;;Sugar & Sweets Holding;Candy sugar store inc;;
1513;;;;;1513;1513;Moises;Morgan;M;1981-07-16;2008-08-27;2014-09-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;790;627;Global;Sugar & Sweets;Cakes;Chocolate Cakes;Global;Manufacturing;Distribution;;Global;North America;United States;New York City;Permanent;;Medium;;Medium;Unknown;Unknown;;28812;USD;;;;Global;24216;242165;;Sugar & Sweets Holding;Sweet company inc;;
1514;;;;;1514;1514;Zinnah;Sapiara;M;1974-02-26;2012-05-04;2014-09-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;790;627;Global;Sugar & Sweets;Chocolate;Dark Chocolate;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;The Hague;Temporary;;High;Unknown;Medium;Unknown;Unknown;;28664;EUR;;;;Global;22794;227946;;Sugar & Sweets Holding;Candy sugar store inc;;
1515;;;;;1515;1515;Jameson;Lan;M;1986-02-25;2006-10-20;2014-09-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;790;627;Global;Sugar & Sweets;Chocolate;Dark Chocolate;Global;Manufacturing;Distribution;;Global;North America;United States;San Francisco;Permanent;;Medium;Unknown;Medium;Unknown;Unknown;;28172;USD;;;;Global;24216;242161;;Sugar & Sweets Holding;Internet trading inc;;
1516;;;;;1516;1516;Kevin;Juhasz;M;1982-03-03;2000-03-14;2014-01-29;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;790;627;Global;Sugar & Sweets;Icecream;Popsicles;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Utrecht;Permanent;Talent;Medium;Unknown;High;Unknown;Unknown;;28663;EUR;;;;Global;22794;227947;;Sugar & Sweets Holding;Sweet company inc;;
1517;;;;;1517;1517;Lum;Quang;M;1971-04-23;2003-07-19;2012-12-17;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;791;627;Global;Sugar & Sweets;Candy;Sour Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;Unknown;Medium;High;Personal Circumstances;;24648;EUR;;;;Global;24216;242163;;Sugar & Sweets Holding;Internet trading inc;;
1518;;;;;1518;1518;Renau;Dillhoff;M;1983-11-21;2011-04-01;2014-09-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;791;627;Global;Sugar & Sweets;Candy;Organic Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;Unknown;Medium;Unknown;Unknown;;27079;EUR;;;;Global;22794;227947;;Sugar & Sweets Holding;Sweet company inc;;
1519;;;;;1519;1519;Romain;David;M;1963-03-29;1999-10-28;2014-09-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;791;627;Global;Sugar & Sweets;Chocolate;White Chocolate;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;;Unknown;Unknown;Unknown;Low;Other;;25124;EUR;;;;Global;24492;244922;;Sugar & Sweets Holding;Internet trading inc;;
1520;;;;;1520;1520;Crespin;David;M;1975-06-29;2011-02-09;2014-09-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;791;627;Global;Sugar & Sweets;Icecream;Sorbet;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;Unknown;Low;Unknown;Unknown;;27105;EUR;;;;Global;24216;242164;;Sugar & Sweets Holding;Sweet company inc;;
1521;;;;;1521;1521;Viktor;Monachino;M;1962-06-17;1972-05-23;2013-06-06;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;791;627;Global;Sugar & Sweets;Cakes;Fruit Cakes;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Utrecht;Permanent;;High;;Medium;Unknown;Unknown;;27748;EUR;;;;Global;22794;227941;;Sugar & Sweets Holding;Sweet company inc;;
1522;;;;;1522;1522;Binoy;Guo-qing;M;1974-04-01;1999-11-08;2014-09-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;791;627;Global;Sugar & Sweets;Candy;Organic Candy;Global;Manufacturing;Distribution;;Global;North America;United States;New York City;Permanent;;Medium;;High;Unknown;Unknown;;29415;USD;;;;Global;24492;244922;;Sugar & Sweets Holding;Candy sugar store inc;;
1523;;;;;1523;1523;Kui;Vielhaber;M;1976-07-06;2004-05-25;2014-05-13;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;791;627;Global;Sugar & Sweets;Candy;Sour Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;;Low;Unknown;Medium;Unknown;Unknown;;26926;EUR;;;;Global;24492;244928;;Sugar & Sweets Holding;Candy sugar store inc;;
1524;;;;;1524;1524;Jaap-Jan;Veron Clemente  ;M;1989-03-12;2006-11-02;2014-09-30;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;792;627;Global;Sugar & Sweets;Chocolate;Milk Chocolate;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Utrecht;Permanent;;Medium;Unknown;Medium;Unknown;Unknown;;29900;EUR;;;;Global;24492;244923;;Sugar & Sweets Holding;Internet trading inc;;
1525;;;;;1525;1525;Sander;Hoc;M;1975-03-03;2012-04-09;2014-06-14;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;792;627;Global;Sugar & Sweets;Cakes;Fruit Cakes;Global;Manufacturing;Distribution;;Global;North America;United States;San Francisco;Permanent;;High;Unknown;Medium;High;Personal Circumstances;;24173;USD;;;;Global;22794;227948;;Sugar & Sweets Holding;Internet trading inc;;
1526;;;;;1526;1526;Anna;Sivakumaran;F;1970-02-03;2004-02-19;2014-05-12;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;792;627;Global;Sugar & Sweets;Candy;Organic Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Utrecht;Permanent;;Medium;Local;Medium;Medium;Career;;26084;EUR;;;;Global;22794;227948;;Sugar & Sweets Holding;Candy sugar store inc;;
1527;;;;;1527;1527;Ksama;Cheng;M;1959-05-07;1998-04-17;2014-05-15;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;792;627;Global;Sugar & Sweets;Cakes;Wedding Cakes;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;The Hague;Permanent;;High;Regional;Medium;Unknown;Unknown;;29258;EUR;;;;Global;24216;242161;;Sugar & Sweets Holding;Candy sugar store inc;;
1528;;;;;1528;1528;Sofie;Jing-yi;F;1953-06-07;1987-11-14;2013-03-18;0.3;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;792;627;Global;Sugar & Sweets;Candy;Organic Candy;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Almere;Permanent;;High;Unknown;Medium;Unknown;Unknown;;29348;EUR;;;;Global;22794;227946;;Sugar & Sweets Holding;Candy sugar store inc;;
1529;;;;;1529;1529;Ignacio;Vielhaber;M;1959-02-20;1981-07-07;2011-12-19;1;Active;Hay Grade 13;Distribution Center Manager;Hay Grade 13;792;627;Global;Sugar & Sweets;Cakes;Chocolate Cakes;Global;Manufacturing;Distribution;;Global;Europe;Netherlands;Amsterdam;Permanent;Talent;Medium;Global;Low;Unknown;Unknown;;25497;EUR;;;;Global;24492;244927;;Sugar & Sweets Holding;Internet trading inc;;
